stage,imputer,model,missing_rate,replicate,fold,f1_macro,bal_acc,n_train,n_test,train_class_distribution,test_class_distribution,n_unique_predictions,degenerate_single_class_preds,f1_LumA,precision_LumA,recall_LumA,f1_LumB,precision_LumB,recall_LumB,f1_Her2,precision_Her2,recall_Her2,f1_Basal,precision_Basal,recall_Basal,seed
classification,RFECA_SVR(k=20),EnsembleSoft,0.0,3,2,0.9124523158699873,0.8965956558061822,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9387755102040817,0.8961038961038961,0.9857142857142858,0.9021739130434783,0.9325842696629213,0.8736842105263158,0.8705882352941177,0.925,0.8222222222222222,0.9382716049382716,0.9743589743589743,0.9047619047619048,3017051
classification,RFECA_SVR(k=20),EnsembleSoft,0.0,3,3,0.8801446219833877,0.8765977443609023,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9225352112676056,0.9097222222222222,0.9357142857142857,0.8556149732620321,0.8695652173913043,0.8421052631578947,0.7912087912087912,0.782608695652174,0.8,0.9512195121951219,0.975,0.9285714285714286,3017051
classification,RFECA_SVR(k=20),EnsembleSoft,0.0,3,4,0.883751255883811,0.8779165902561281,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9323843416370107,0.9290780141843972,0.9357142857142857,0.8969072164948454,0.8787878787878788,0.9157894736842105,0.7674418604651163,0.8048780487804879,0.7333333333333333,0.9382716049382716,0.95,0.926829268292683,3017051
classification,RFECA_SVR(k=20),EnsembleSoft,0.0,3,5,0.8806775926001528,0.8572339940760993,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9220338983050848,0.8774193548387097,0.9714285714285714,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.7692307692307693,0.8823529411764706,0.6818181818181818,0.9367088607594937,1.0,0.8809523809523809,3017051
classification,RFECA_SVR(k=5),EnsembleSoft,0.0,4,1,0.8726542614495549,0.8678884711779449,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9124087591240876,0.9328358208955224,0.8928571428571429,0.88,0.8380952380952381,0.9263157894736842,0.8297872340425532,0.7959183673469388,0.8666666666666667,0.868421052631579,0.9705882352941176,0.7857142857142857,4017054
classification,RFECA_SVR(k=5),EnsembleSoft,0.0,4,2,0.9124523158699873,0.8965956558061822,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9387755102040817,0.8961038961038961,0.9857142857142858,0.9021739130434783,0.9325842696629213,0.8736842105263158,0.8705882352941177,0.925,0.8222222222222222,0.9382716049382716,0.9743589743589743,0.9047619047619048,4017054
classification,RFECA_SVR(k=5),EnsembleSoft,0.0,4,3,0.8801446219833877,0.8765977443609023,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9225352112676056,0.9097222222222222,0.9357142857142857,0.8556149732620321,0.8695652173913043,0.8421052631578947,0.7912087912087912,0.782608695652174,0.8,0.9512195121951219,0.975,0.9285714285714286,4017054
classification,RFECA_SVR(k=5),EnsembleSoft,0.0,4,4,0.883751255883811,0.8779165902561281,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9323843416370107,0.9290780141843972,0.9357142857142857,0.8969072164948454,0.8787878787878788,0.9157894736842105,0.7674418604651163,0.8048780487804879,0.7333333333333333,0.9382716049382716,0.95,0.926829268292683,4017054
classification,RFECA_SVR(k=5),EnsembleSoft,0.0,4,5,0.8806775926001528,0.8572339940760993,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9220338983050848,0.8774193548387097,0.9714285714285714,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.7692307692307693,0.8823529411764706,0.6818181818181818,0.9367088607594937,1.0,0.8809523809523809,4017054
classification,RFECA_SVR(k=10),EnsembleSoft,0.0,4,1,0.8726542614495549,0.8678884711779449,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9124087591240876,0.9328358208955224,0.8928571428571429,0.88,0.8380952380952381,0.9263157894736842,0.8297872340425532,0.7959183673469388,0.8666666666666667,0.868421052631579,0.9705882352941176,0.7857142857142857,4017054
classification,RFECA_SVR(k=10),EnsembleSoft,0.0,4,2,0.9124523158699873,0.8965956558061822,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9387755102040817,0.8961038961038961,0.9857142857142858,0.9021739130434783,0.9325842696629213,0.8736842105263158,0.8705882352941177,0.925,0.8222222222222222,0.9382716049382716,0.9743589743589743,0.9047619047619048,4017054
classification,RFECA_SVR(k=10),EnsembleSoft,0.0,4,3,0.8801446219833877,0.8765977443609023,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9225352112676056,0.9097222222222222,0.9357142857142857,0.8556149732620321,0.8695652173913043,0.8421052631578947,0.7912087912087912,0.782608695652174,0.8,0.9512195121951219,0.975,0.9285714285714286,4017054
classification,RFECA_SVR(k=10),EnsembleSoft,0.0,4,4,0.883751255883811,0.8779165902561281,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9323843416370107,0.9290780141843972,0.9357142857142857,0.8969072164948454,0.8787878787878788,0.9157894736842105,0.7674418604651163,0.8048780487804879,0.7333333333333333,0.9382716049382716,0.95,0.926829268292683,4017054
classification,RFECA_SVR(k=10),EnsembleSoft,0.0,4,5,0.8806775926001528,0.8572339940760993,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9220338983050848,0.8774193548387097,0.9714285714285714,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.7692307692307693,0.8823529411764706,0.6818181818181818,0.9367088607594937,1.0,0.8809523809523809,4017054
classification,RFECA_SVR(k=20),EnsembleSoft,0.0,4,1,0.8726542614495549,0.8678884711779449,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9124087591240876,0.9328358208955224,0.8928571428571429,0.88,0.8380952380952381,0.9263157894736842,0.8297872340425532,0.7959183673469388,0.8666666666666667,0.868421052631579,0.9705882352941176,0.7857142857142857,4017054
classification,RFECA_SVR(k=20),EnsembleSoft,0.0,4,2,0.9124523158699873,0.8965956558061822,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9387755102040817,0.8961038961038961,0.9857142857142858,0.9021739130434783,0.9325842696629213,0.8736842105263158,0.8705882352941177,0.925,0.8222222222222222,0.9382716049382716,0.9743589743589743,0.9047619047619048,4017054
classification,RFECA_SVR(k=20),EnsembleSoft,0.0,4,3,0.8801446219833877,0.8765977443609023,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9225352112676056,0.9097222222222222,0.9357142857142857,0.8556149732620321,0.8695652173913043,0.8421052631578947,0.7912087912087912,0.782608695652174,0.8,0.9512195121951219,0.975,0.9285714285714286,4017054
classification,RFECA_SVR(k=20),EnsembleSoft,0.0,4,4,0.883751255883811,0.8779165902561281,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9323843416370107,0.9290780141843972,0.9357142857142857,0.8969072164948454,0.8787878787878788,0.9157894736842105,0.7674418604651163,0.8048780487804879,0.7333333333333333,0.9382716049382716,0.95,0.926829268292683,4017054
classification,RFECA_SVR(k=20),EnsembleSoft,0.0,4,5,0.8806775926001528,0.8572339940760993,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9220338983050848,0.8774193548387097,0.9714285714285714,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.7692307692307693,0.8823529411764706,0.6818181818181818,0.9367088607594937,1.0,0.8809523809523809,4017054
classification,RFECA_SVR(k=5),EnsembleSoft,0.0,5,1,0.8726542614495549,0.8678884711779449,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9124087591240876,0.9328358208955224,0.8928571428571429,0.88,0.8380952380952381,0.9263157894736842,0.8297872340425532,0.7959183673469388,0.8666666666666667,0.868421052631579,0.9705882352941176,0.7857142857142857,5017057
classification,RFECA_SVR(k=5),EnsembleSoft,0.0,5,2,0.9124523158699873,0.8965956558061822,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9387755102040817,0.8961038961038961,0.9857142857142858,0.9021739130434783,0.9325842696629213,0.8736842105263158,0.8705882352941177,0.925,0.8222222222222222,0.9382716049382716,0.9743589743589743,0.9047619047619048,5017057
classification,RFECA_SVR(k=5),EnsembleSoft,0.0,5,3,0.8801446219833877,0.8765977443609023,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9225352112676056,0.9097222222222222,0.9357142857142857,0.8556149732620321,0.8695652173913043,0.8421052631578947,0.7912087912087912,0.782608695652174,0.8,0.9512195121951219,0.975,0.9285714285714286,5017057
classification,RFECA_SVR(k=5),EnsembleSoft,0.0,5,4,0.883751255883811,0.8779165902561281,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9323843416370107,0.9290780141843972,0.9357142857142857,0.8969072164948454,0.8787878787878788,0.9157894736842105,0.7674418604651163,0.8048780487804879,0.7333333333333333,0.9382716049382716,0.95,0.926829268292683,5017057
classification,RFECA_SVR(k=5),EnsembleSoft,0.0,5,5,0.8806775926001528,0.8572339940760993,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9220338983050848,0.8774193548387097,0.9714285714285714,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.7692307692307693,0.8823529411764706,0.6818181818181818,0.9367088607594937,1.0,0.8809523809523809,5017057
classification,RFECA_SVR(k=10),EnsembleSoft,0.0,5,1,0.8726542614495549,0.8678884711779449,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9124087591240876,0.9328358208955224,0.8928571428571429,0.88,0.8380952380952381,0.9263157894736842,0.8297872340425532,0.7959183673469388,0.8666666666666667,0.868421052631579,0.9705882352941176,0.7857142857142857,5017057
classification,RFECA_SVR(k=10),EnsembleSoft,0.0,5,2,0.9124523158699873,0.8965956558061822,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9387755102040817,0.8961038961038961,0.9857142857142858,0.9021739130434783,0.9325842696629213,0.8736842105263158,0.8705882352941177,0.925,0.8222222222222222,0.9382716049382716,0.9743589743589743,0.9047619047619048,5017057
classification,RFECA_SVR(k=10),EnsembleSoft,0.0,5,3,0.8801446219833877,0.8765977443609023,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9225352112676056,0.9097222222222222,0.9357142857142857,0.8556149732620321,0.8695652173913043,0.8421052631578947,0.7912087912087912,0.782608695652174,0.8,0.9512195121951219,0.975,0.9285714285714286,5017057
classification,RFECA_SVR(k=10),EnsembleSoft,0.0,5,4,0.883751255883811,0.8779165902561281,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9323843416370107,0.9290780141843972,0.9357142857142857,0.8969072164948454,0.8787878787878788,0.9157894736842105,0.7674418604651163,0.8048780487804879,0.7333333333333333,0.9382716049382716,0.95,0.926829268292683,5017057
classification,RFECA_SVR(k=10),EnsembleSoft,0.0,5,5,0.8806775926001528,0.8572339940760993,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9220338983050848,0.8774193548387097,0.9714285714285714,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.7692307692307693,0.8823529411764706,0.6818181818181818,0.9367088607594937,1.0,0.8809523809523809,5017057
classification,RFECA_SVR(k=20),EnsembleSoft,0.0,5,1,0.8726542614495549,0.8678884711779449,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9124087591240876,0.9328358208955224,0.8928571428571429,0.88,0.8380952380952381,0.9263157894736842,0.8297872340425532,0.7959183673469388,0.8666666666666667,0.868421052631579,0.9705882352941176,0.7857142857142857,5017057
classification,RFECA_SVR(k=20),EnsembleSoft,0.0,5,2,0.9124523158699873,0.8965956558061822,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9387755102040817,0.8961038961038961,0.9857142857142858,0.9021739130434783,0.9325842696629213,0.8736842105263158,0.8705882352941177,0.925,0.8222222222222222,0.9382716049382716,0.9743589743589743,0.9047619047619048,5017057
classification,RFECA_SVR(k=20),EnsembleSoft,0.0,5,3,0.8801446219833877,0.8765977443609023,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9225352112676056,0.9097222222222222,0.9357142857142857,0.8556149732620321,0.8695652173913043,0.8421052631578947,0.7912087912087912,0.782608695652174,0.8,0.9512195121951219,0.975,0.9285714285714286,5017057
classification,RFECA_SVR(k=20),EnsembleSoft,0.0,5,4,0.883751255883811,0.8779165902561281,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9323843416370107,0.9290780141843972,0.9357142857142857,0.8969072164948454,0.8787878787878788,0.9157894736842105,0.7674418604651163,0.8048780487804879,0.7333333333333333,0.9382716049382716,0.95,0.926829268292683,5017057
classification,RFECA_SVR(k=20),EnsembleSoft,0.0,5,5,0.8806775926001528,0.8572339940760993,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9220338983050848,0.8774193548387097,0.9714285714285714,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.7692307692307693,0.8823529411764706,0.6818181818181818,0.9367088607594937,1.0,0.8809523809523809,5017057
classification,RFECA_SVR(k=5),EnsembleSoft,0.0,6,1,0.8726542614495549,0.8678884711779449,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9124087591240876,0.9328358208955224,0.8928571428571429,0.88,0.8380952380952381,0.9263157894736842,0.8297872340425532,0.7959183673469388,0.8666666666666667,0.868421052631579,0.9705882352941176,0.7857142857142857,6017060
classification,RFECA_SVR(k=5),EnsembleSoft,0.0,6,2,0.9124523158699873,0.8965956558061822,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9387755102040817,0.8961038961038961,0.9857142857142858,0.9021739130434783,0.9325842696629213,0.8736842105263158,0.8705882352941177,0.925,0.8222222222222222,0.9382716049382716,0.9743589743589743,0.9047619047619048,6017060
classification,RFECA_SVR(k=5),EnsembleSoft,0.0,6,3,0.8801446219833877,0.8765977443609023,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9225352112676056,0.9097222222222222,0.9357142857142857,0.8556149732620321,0.8695652173913043,0.8421052631578947,0.7912087912087912,0.782608695652174,0.8,0.9512195121951219,0.975,0.9285714285714286,6017060
classification,RFECA_SVR(k=5),EnsembleSoft,0.0,6,4,0.883751255883811,0.8779165902561281,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9323843416370107,0.9290780141843972,0.9357142857142857,0.8969072164948454,0.8787878787878788,0.9157894736842105,0.7674418604651163,0.8048780487804879,0.7333333333333333,0.9382716049382716,0.95,0.926829268292683,6017060
classification,RFECA_SVR(k=5),EnsembleSoft,0.0,6,5,0.8806775926001528,0.8572339940760993,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9220338983050848,0.8774193548387097,0.9714285714285714,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.7692307692307693,0.8823529411764706,0.6818181818181818,0.9367088607594937,1.0,0.8809523809523809,6017060
classification,RFECA_SVR(k=10),EnsembleSoft,0.0,6,1,0.8726542614495549,0.8678884711779449,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9124087591240876,0.9328358208955224,0.8928571428571429,0.88,0.8380952380952381,0.9263157894736842,0.8297872340425532,0.7959183673469388,0.8666666666666667,0.868421052631579,0.9705882352941176,0.7857142857142857,6017060
classification,RFECA_SVR(k=10),EnsembleSoft,0.0,6,2,0.9124523158699873,0.8965956558061822,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9387755102040817,0.8961038961038961,0.9857142857142858,0.9021739130434783,0.9325842696629213,0.8736842105263158,0.8705882352941177,0.925,0.8222222222222222,0.9382716049382716,0.9743589743589743,0.9047619047619048,6017060
classification,RFECA_SVR(k=10),EnsembleSoft,0.0,6,3,0.8801446219833877,0.8765977443609023,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9225352112676056,0.9097222222222222,0.9357142857142857,0.8556149732620321,0.8695652173913043,0.8421052631578947,0.7912087912087912,0.782608695652174,0.8,0.9512195121951219,0.975,0.9285714285714286,6017060
classification,RFECA_SVR(k=10),EnsembleSoft,0.0,6,4,0.883751255883811,0.8779165902561281,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9323843416370107,0.9290780141843972,0.9357142857142857,0.8969072164948454,0.8787878787878788,0.9157894736842105,0.7674418604651163,0.8048780487804879,0.7333333333333333,0.9382716049382716,0.95,0.926829268292683,6017060
classification,RFECA_SVR(k=10),EnsembleSoft,0.0,6,5,0.8806775926001528,0.8572339940760993,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9220338983050848,0.8774193548387097,0.9714285714285714,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.7692307692307693,0.8823529411764706,0.6818181818181818,0.9367088607594937,1.0,0.8809523809523809,6017060
classification,RFECA_SVR(k=20),EnsembleSoft,0.0,6,1,0.8726542614495549,0.8678884711779449,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9124087591240876,0.9328358208955224,0.8928571428571429,0.88,0.8380952380952381,0.9263157894736842,0.8297872340425532,0.7959183673469388,0.8666666666666667,0.868421052631579,0.9705882352941176,0.7857142857142857,6017060
classification,RFECA_SVR(k=20),EnsembleSoft,0.0,6,2,0.9124523158699873,0.8965956558061822,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9387755102040817,0.8961038961038961,0.9857142857142858,0.9021739130434783,0.9325842696629213,0.8736842105263158,0.8705882352941177,0.925,0.8222222222222222,0.9382716049382716,0.9743589743589743,0.9047619047619048,6017060
classification,RFECA_SVR(k=20),EnsembleSoft,0.0,6,3,0.8801446219833877,0.8765977443609023,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9225352112676056,0.9097222222222222,0.9357142857142857,0.8556149732620321,0.8695652173913043,0.8421052631578947,0.7912087912087912,0.782608695652174,0.8,0.9512195121951219,0.975,0.9285714285714286,6017060
